frequency_hz,g_peak_measured,g_peak_target
200.0,0.28390452176123115,0.06999999999999999
211.89261887185907,0.2878377912299105,0.07125386714935303
224.49240966187463,0.6508574011295187,0.16195374846458435
237.84142300054427,1.0151747401840854,0.2521021735668182
251.9842099789747,1.3795672493842945,0.34341542840003964
266.96797083400696,1.4054501821413738,0.35
282.84271247461913,1.4041414575096223,0.35
299.66141537533645,1.4018344322762895,0.35
317.48021039364005,1.4043574971779798,0.35
336.358566101486,1.4017396415950556,0.35
356.35948725613594,1.4030587512862833,0.35
377.54972507267763,1.4026574967525132,0.35
400.0000000000003,1.4020893682560607,0.35
423.7852377437184,1.4029736814790303,0.35
448.98481932374955,1.4019539332285178,0.35
475.6828460010888,1.4016294275241807,0.35
503.9684199579497,1.4033418491167702,0.35
533.9359416680143,1.4036572866125099,0.35
565.6854249492386,1.405646073648268,0.35
599.3228307506732,1.404867206501537,0.35
634.9604207872804,1.4094052290314707,0.35
672.7171322029724,1.4160273505218957,0.35
712.7189745122722,1.4334245569865915,0.35
755.0994501453556,1.5181506982828543,0.35
800.0000000000009,2.260009435682427,0.35
847.5704754874372,1.5263091123461636,0.35
897.9696386474994,1.434565642608799,0.35
951.365692002178,1.4162743383424472,0.35
1007.9368399158998,1.4097950257470622,0.35
1067.8718833360288,1.4074866545796014,0.35
1131.3708498984774,1.4052138945901365,0.35
1198.6456615013467,1.403340823671323,0.35
1269.920841574561,1.4029235027642168,0.35
1345.434264405945,1.4028773926263052,0.35
1425.4379490245449,1.400912588721015,0.35
1510.1989002907117,1.4024553015624583,0.35
1600.0000000000023,1.4019552906403123,0.35
1695.1409509748748,1.4017725293740675,0.35
1795.9392772949993,1.4019438550360896,0.35
1902.7313840043564,1.4018272363648137,0.35
200.0,1.4170419474487828,0.35
211.89261887185907,1.4121275857048934,0.35
224.49240966187463,1.409959402689121,0.35
237.84142300054427,1.4079059124453372,0.35
251.9842099789747,1.4066985027835768,0.35
266.96797083400696,1.4045893589155487,0.35
282.84271247461913,1.4037560026934137,0.35
299.66141537533645,1.4025224862063566,0.35
317.48021039364005,1.4042317600399312,0.35
336.358566101486,1.4027909746636738,0.35
356.35948725613594,1.4027931259657702,0.35
377.54972507267763,1.4034073769507014,0.35
400.0000000000003,1.4018377886663729,0.35
423.7852377437184,1.4025258105796374,0.35
448.98481932374955,1.4029449231751066,0.35
475.6828460010888,1.4026002088498544,0.35
503.9684199579497,1.4036236973755933,0.35
533.9359416680143,1.403799639639881,0.35
565.6854249492386,1.4052425494534224,0.35
599.3228307506732,1.4056410945794116,0.35
634.9604207872804,1.4095627551502161,0.35
672.7171322029724,1.4156572980937414,0.35
712.7189745122722,1.4329563963329701,0.35
755.0994501453556,1.5180359465405495,0.35
800.0000000000009,2.259721746235099,0.35
847.5704754874372,1.5262895242395078,0.35
897.9696386474994,1.4341584646540448,0.35
951.365692002178,1.4166103558126646,0.35
1007.9368399158998,1.4098049989048154,0.35
1067.8718833360288,1.4062352461235115,0.35
1131.3708498984774,1.4043720454927433,0.35
1198.6456615013467,1.4035370136907142,0.35
